INSERT INTO 旅游线路_旅游时间段_旅游信息
VALUES  (9, 7, 1),
        (7, 2, 2),
        (6, 26, 3),
        (8, 26, 4),
        (5, 3, 5),
        (6, 2, 6),
        (5, 27, 7),
        (5, 18, 8),
        (2, 9, 9),
        (4, 5, 10),
        (10, 2, 11),
        (2, 18, 12),
        (6, 29, 13),
        (5, 1, 14),
        (6, 30, 15),
        (8, 30, 16),
        (6, 13, 17),
        (8, 23, 18),
        (10, 1, 19),
        (10, 18, 20),
        (9, 6, 21),
        (7, 25, 22),
        (8, 23, 23),
        (4, 4, 24),
        (6, 9, 25),
        (7, 25, 26),
        (5, 4, 27),
        (2, 4, 28),
        (1, 3, 29),
        (6, 4, 30),
        (1, 8, 31),
        (4, 26, 32),
        (7, 25, 33),
        (8, 6, 34),
        (4, 8, 35),
        (5, 12, 36),
        (5, 4, 37),
        (3, 24, 38),
        (7, 6, 39),
        (8, 10, 40),
        (1, 12, 41),
        (10, 13, 42),
        (3, 19, 43),
        (5, 27, 44),
        (7, 14, 45),
        (4, 24, 46),
        (5, 30, 47),
        (6, 29, 48),
        (7, 21, 49),
        (6, 17, 50),
        (4, 7, 51),
        (5, 30, 52),
        (10, 12, 53),
        (9, 11, 54),
        (6, 17, 55),
        (7, 10, 56),
        (9, 1, 57),
        (6, 29, 58),
        (1, 7, 59),
        (7, 6, 60),
        (9, 5, 61),
        (10, 10, 62),
        (9, 24, 63),
        (2, 8, 64),
        (10, 29, 65),
        (6, 4, 66),
        (7, 13, 67),
        (7, 20, 68),
        (6, 20, 69),
        (7, 21, 70),
        (3, 19, 71),
        (5, 2, 72),
        (4, 30, 73),
        (6, 28, 74),
        (6, 13, 75),
        (2, 20, 76),
        (9, 11, 77),
        (1, 15, 78),
        (9, 23, 79),
        (10, 24, 80),
        (3, 18, 81),
        (4, 14, 82),
        (8, 17, 83),
        (8, 30, 84),
        (10, 15, 85),
        (10, 29, 86),
        (2, 16, 87),
        (7, 26, 88),
        (8, 29, 89),
        (10, 28, 90),
        (7, 26, 91),
        (9, 6, 92),
        (1, 30, 93),
        (2, 16, 94),
        (6, 13, 95),
        (7, 20, 96),
        (5, 15, 97),
        (9, 2, 98),
        (3, 20, 99),
        (7, 8, 100),
        (7, 25, 101),
        (9, 12, 102),
        (10, 18, 103),
        (6, 17, 104),
        (8, 25, 105),
        (9, 8, 106),
        (1, 18, 107),
        (3, 4, 108),
        (3, 8, 109),
        (2, 9, 110),
        (7, 28, 111),
        (2, 26, 112),
        (1, 29, 113),
        (2, 17, 114),
        (3, 6, 115),
        (9, 17, 116),
        (5, 19, 117),
        (1, 25, 118),
        (9, 2, 119),
        (2, 7, 120),
        (10, 27, 121),
        (1, 4, 122),
        (5, 22, 123),
        (4, 4, 124),
        (9, 4, 125),
        (7, 20, 126),
        (6, 17, 127),
        (6, 30, 128),
        (2, 19, 129),
        (6, 3, 130),
        (1, 22, 131),
        (10, 1, 132),
        (8, 19, 133),
        (6, 16, 134),
        (5, 30, 135),
        (9, 2, 136),
        (2, 3, 137),
        (8, 22, 138),
        (10, 17, 139),
        (3, 13, 140),
        (10, 1, 141),
        (10, 9, 142),
        (8, 23, 143),
        (7, 9, 144),
        (7, 1, 145),
        (5, 21, 146),
        (6, 20, 147),
        (9, 11, 148),
        (10, 28, 149),
        (8, 21, 150),
        (10, 22, 151),
        (2, 7, 152),
        (5, 30, 153),
        (3, 10, 154),
        (6, 13, 155),
        (8, 22, 156),
        (5, 16, 157),
        (3, 9, 158),
        (8, 20, 159),
        (1, 13, 160),
        (6, 3, 161),
        (2, 11, 162),
        (6, 12, 163),
        (9, 28, 164),
        (3, 1, 165),
        (10, 19, 166),
        (7, 23, 167),
        (6, 6, 168),
        (1, 21, 169),
        (10, 12, 170),
        (1, 20, 171),
        (1, 26, 172),
        (9, 30, 173),
        (5, 10, 174),
        (8, 25, 175),
        (2, 3, 176),
        (1, 10, 177),
        (4, 30, 178),
        (5, 27, 179),
        (3, 20, 180),
        (4, 20, 181),
        (4, 16, 182),
        (7, 10, 183),
        (2, 29, 184),
        (1, 14, 185),
        (6, 11, 186),
        (4, 26, 187),
        (3, 7, 188),
        (1, 24, 189),
        (7, 8, 190),
        (4, 27, 191),
        (7, 2, 192),
        (10, 8, 193),
        (7, 30, 194),
        (3, 9, 195),
        (3, 15, 196),
        (7, 7, 197),
        (9, 29, 198),
        (5, 21, 199),
        (10, 20, 200),
        (1, 10, 201),
        (1, 10, 202),
        (7, 26, 203),
        (10, 12, 204),
        (5, 13, 205),
        (5, 27, 206),
        (6, 27, 207),
        (7, 13, 208),
        (7, 3, 209),
        (2, 7, 210),
        (9, 6, 211),
        (10, 13, 212),
        (10, 11, 213),
        (3, 11, 214),
        (8, 8, 215),
        (7, 18, 216),
        (5, 4, 217),
        (8, 27, 218),
        (7, 5, 219),
        (1, 13, 220),
        (6, 25, 221),
        (7, 27, 222),
        (10, 20, 223),
        (3, 24, 224),
        (2, 10, 225),
        (9, 12, 226),
        (9, 4, 227),
        (10, 3, 228),
        (9, 11, 229),
        (10, 28, 230),
        (1, 20, 231),
        (6, 17, 232),
        (7, 30, 233),
        (7, 25, 234),
        (7, 23, 235),
        (8, 13, 236),
        (9, 22, 237),
        (7, 13, 238),
        (10, 18, 239),
        (6, 23, 240),
        (7, 24, 241),
        (7, 9, 242),
        (4, 4, 243),
        (5, 26, 244),
        (5, 17, 245),
        (6, 21, 246),
        (8, 22, 247),
        (3, 23, 248),
        (2, 26, 249),
        (2, 21, 250),
        (7, 1, 251),
        (4, 28, 252),
        (2, 28, 253),
        (3, 26, 254),
        (9, 24, 255),
        (5, 2, 256),
        (5, 8, 257),
        (5, 1, 258),
        (2, 4, 259),
        (5, 5, 260),
        (9, 19, 261),
        (5, 28, 262),
        (8, 2, 263),
        (3, 18, 264),
        (4, 26, 265),
        (10, 4, 266),
        (7, 27, 267),
        (7, 3, 268),
        (10, 29, 269),
        (3, 9, 270),
        (8, 14, 271),
        (3, 11, 272),
        (10, 9, 273),
        (8, 15, 274),
        (8, 23, 275),
        (6, 23, 276),
        (5, 17, 277),
        (10, 4, 278),
        (10, 24, 279),
        (8, 22, 280),
        (3, 18, 281),
        (6, 1, 282),
        (7, 23, 283),
        (10, 10, 284),
        (2, 5, 285),
        (10, 19, 286),
        (10, 1, 287),
        (5, 7, 288),
        (3, 21, 289),
        (3, 3, 290),
        (10, 9, 291),
        (2, 30, 292),
        (2, 30, 293),
        (10, 27, 294),
        (2, 14, 295),
        (5, 25, 296),
        (3, 1, 297),
        (10, 22, 298),
        (8, 3, 299),
        (5, 24, 300),
        (4, 30, 301),
        (2, 30, 302),
        (2, 23, 303),
        (9, 27, 304),
        (10, 24, 305),
        (3, 6, 306),
        (7, 10, 307),
        (10, 15, 308),
        (1, 12, 309),
        (6, 5, 310),
        (6, 7, 311),
        (6, 20, 312),
        (8, 30, 313),
        (10, 26, 314),
        (10, 24, 315),
        (3, 6, 316),
        (8, 23, 317),
        (1, 5, 318),
        (5, 9, 319),
        (1, 8, 320),
        (3, 5, 321),
        (7, 5, 322),
        (6, 16, 323),
        (9, 1, 324),
        (5, 26, 325),
        (10, 19, 326),
